mesh,nodes,gpus,nod2d_per_gpu,reps,mean_s_per_step,std_s_per_step,cov_pct,sypd_dt180,sypd_dt240
ng5,2,8,926k,10,0.9643,0.0096,1.0,0.51,0.68
ng5,4,16,463k,10,0.5414,0.0191,3.5,0.91,1.21
ng5,8,32,231k,10,0.3201,0.0196,6.1,1.54,2.05
ng5,16,64,116k,10,0.1955,0.0098,5.0,2.52,3.36
ng5,32,128,58k,10,0.1405,0.0139,9.9,3.51,4.68
ng5,64,256,29k,10,0.1364,0.0275,20.1,3.61,4.82
ng5,128,512,14k,6,0.1262,0.0585,46.4,3.91,5.21
ng5,256,1024,7.2k,1,0.1604,0.0000,0.0,3.07,4.10
ng5,512,2048,3.6k,1,0.5792,0.0000,0.0,0.85,1.14
